央视频道,#genre#
CCTV-1,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8
CCTV-2,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225588/index.m3u8
CCTV-3,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8
CCTV-4,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226428/index.m3u8
CCTV-5,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8
CCTV-5+,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225603/index.m3u8
CCTV-6,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226010/index.m3u8
CCTV-7,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225733/index.m3u8
CCTV-8,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226008/index.m3u8
CCTV-9,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225734/index.m3u8
CCTV-10,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225730/index.m3u8
CCTV-11,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225597/index.m3u8
CCTV-12,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225731/index.m3u8
CCTV-13,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226011/index.m3u8
CCTV-14,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225732/index.m3u8
CCTV-15,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225601/index.m3u8
CCTV-16,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226100/index.m3u8
CCTV-17,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225765/index.m3u8
CETV-1,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225652/index.m3u8
CETV-2,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226425/index.m3u8
CETV-3,http://ottrrs.hl.chinamobile.com/PLTV/3/224/3221227018/index.m3u8
CETV-4,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225783/index.m3u8
预留23,
预留24,
预留25,
预留26,
预留27,
预留28,
预留29,
预留30,



#  山东移动 #

CCTV-1,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000311/index.m3u8
CCTV-2,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000317/index.m3u8
CCTV-3,http://223.110.241.203:6610/gitv/live1/G_CCTV-3-HQ/G_CCTV-3-HQ/
CCTV-4,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000320/index.m3u8
CCTV-5,http://223.110.241.203:6610/gitv/live1/G_CCTV-5-HQ/G_CCTV-5-HQ/
CCTV-5+,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000316/index.m3u8
CCTV-6,http://223.110.241.203:6610/gitv/live1/G_CCTV-6-HQ/G_CCTV-6-HQ/
CCTV-7,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000318/index.m3u8
CCTV-8,http://223.110.242.130:6610/cntv/live1/cctv-8/cctv-8?&virtualDomain=001.live_hls.zte.com
CCTV-9,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000319/index.m3u8
CCTV-10,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000321/index.m3u8
CCTV-11,http://39.137.76.32:8089/00/SNM/CHANNEL00000011/index.m3u8
CCTV-12,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000322/index.m3u8
CCTV-13,http://39.137.76.32:8089/00/SNM/CHANNEL00000013/index.m3u8
CCTV-14,http://39.137.76.32:8089/00/SNM/CHANNEL00000014/index.m3u8
CCTV-15,http://39.137.76.32:8089/00/SNM/CHANNEL00000015/index.m3u8




#  电信专区#
CCTV-1,http://39.134.66.48/PLTV/88888888/224/3221225816/index.m3u8#http://39.134.66.4/PLTV/88888888/224/3221226117/index.m3u8#http://39.134.65.181/PLTV/88888888/224/3221225816/index.m3u8#http://39.134.67.226/PLTV/88888888/224/3221225816/index.m3u8#http://39.134.66.4/PLTV/88888888/224/3221225816/index.m3u8#http://39.134.66.110/PLTV/88888888/224/3221225816/index.m3u8#http://39.134.66.4/PLTV/88888888/224/3221226068/index.m3u8#http://39.134.65.179/PLTV/88888888/224/3221225816/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226419/index.m3u8#http://39.134.66.4/PLTV/88888888/224/3221226060/index.m3u8#http://tv.ydonline.cn/ysp.php?id=cctv1
CCTV-2,http://221.2.146.228:8888/newlive/live/hls/3/live.m3u8#http://113.200.53.90:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0#http://tv.ydonline.cn/ysp.php?id=cctv2
CCTV-3,http://39.134.66.46/PLTV/88888888/224/3221225799/index.m3u8#http://39.134.67.226/PLTV/88888888/224/3221225799/index.m3u8#http://39.134.65.179/PLTV/88888888/224/3221225799/index.m3u8#http://39.134.65.181/PLTV/88888888/224/3221225799/index.m3u8#http://39.134.65.173/PLTV/88888888/224/3221225799/index.m3u8#http://39.134.65.183/PLTV/88888888/224/3221225799/index.m3u8#http://39.134.65.175/PLTV/88888888/224/3221225799/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8#http://116.132.87.246:8888/newlive/live/hls/4/live.m3u8#http://tv.ydonline.cn/ysp.php?id=cctv3
CCTV-4,http://39.134.66.4/PLTV/88888888/224/3221226092/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226428/index.m3u8#http://tv.ydonline.cn/ysp.php?id=cctv4
CCTV-5,http://39.135.135.4/PLTV/88888888/224/3221225818/index.m3u8#http://39.134.67.226/PLTV/88888888/224/3221225818/index.m3u8#http://39.134.65.181/PLTV/88888888/224/3221225818/index.m3u8#http://39.134.65.173/PLTV/88888888/224/3221225818/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8#http://tv.ydonline.cn/ysp.php?id=cctv5
CCTV-5+,http://39.134.66.4/PLTV/88888888/224/3221225507/index.m3u8#http://39.134.66.110/PLTV/88888888/224/3221225507/index.m3u8#http://39.134.66.66/PLTV/88888888/224/3221225507/index.m3u8#http://39.134.65.181/PLTV/88888888/224/3221225507/index.m3u8#http://39.134.65.173/PLTV/88888888/224/3221225507/index.m3u8#http://39.134.65.183/PLTV/88888888/224/3221225507/index.m3u8#http://39.134.65.175/PLTV/88888888/224/3221225507/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225603/index.m3u8#http://tv.ydonline.cn/ysp.php?id=cctv5p
